,comment_text,id,identity_hate,insult,obscene,severe_toxic,threat,toxic
0,"""

 Me again, perhaps for the last time 

I am fucking furious about Tony1's block earlier today, and the admin cabal's refusal to face up to its dishonesty. I'm also furiuous that I've been threatened and bullied by admin-kiddies since then because I supported Tony and spoke out against his block.

What is the fucking point in this project? Is it just to give kiddie's something to write on their school applications? """"I am an administrator on wikipedia""""?   """,c7d8c1ef7e9bb606,0,1,1,0,0,1
1,"Thank you for experimenting with the page X-ray machine on Wikipedia. Your test worked, and it has been reverted or removed. Please use the sandbox for any other tests you want to do. Take a look at the welcome page if you would like to learn more about contributing to our encyclopedia.  A link to the edit I have reverted can be found here: link. If you believe this edit should not have been reverted, please contact me.",1267a577c5e8533d,0,0,0,0,0,0
2,We both know this is a suicide mission,108,0,0,0,0,0,1
3,"""

 A hit list for Jews 
There is a site called Jew Watch out there (I'll let you find the link) which specialises in """"keeping an eye on Jewish activities"""".  It is used as a reference site by anti-semites the world around.  Jew Watch makes it a point to make sure that they do not, under any circumstances, list someone who they cannot confirm 100% is Jewish.  Stormfront, a white supremist web forum, uses Jew Watch all of the time.

The criteria for inclusion on List of British Jews is the same criteria used by Jew Watch.  It is a criteria designed for anti-semites.  It is a criteria that is aimed in hurting Jews.

Jewish communities do not have such a criteria.  They allow anyone to be considered to be a Jew if they have any linkage with the Jewish community, through race, religion or culture.  This is the normal criteria that is used.  If your father is Jewish, then per Jewish community standards, you are Jewish.  And so forth.

Wikipedia as a whole has certain criteria for verifiability.  But these criteria are not being applied to this list.  This is being changed purely because this is a Jewish list.  Whilst Slim Virgin and her friends have claimed that this is in order to stop muslim terrorists, this is plainly not true.  If we are worried about terrorists strapping bombs to their bodies and blowing up Jews, then this list shouldn't exist at all.  And we should especially not try to focus on who are the """"real Jews"""".  Wikipedia are changing their rules, purely to push an anti-semetic point of view.  And while Slim Virgin goes around claiming that others who oppose her are neo-nazis, and ignoring their strong ties to the Jewish community, she herself has been unable to answer the questions about her own religious hatred.  And this is the same person who has supported muslim POV pushers, who have written vehement anti-semetic text throughout Wikipedia.  Slim Virgin has been a catalyst for banning people who have opposed these islamofascists.  Slim Virgin is an anti-semite.

Right now, I would encourage deletion of this list.  It is being run by anti-semites and used to harm all Jewish people.  Until such time as Slim Virgin can be banned from editing this and related pages, it is dangerous to continue to have such a page.  It is encouraging hatred of Jews.""",4d7a10ae7a7c7621,1,0,0,0,0,0
4,"""
Something needs to be added about this!! 
What a friggin Hypocrite!! Leaving her husband and 3 young kids for some young guy. She's some Christian. A real """"sinner"""" no doubt. Doesn't she do country music?
It's funny how some Christians like miss amy has such holier than thou when it comes to her music  (where she Rakes in the dough praising JC) but her personal conduct is all about leaving her family and THREE YOUNG kids just for the hell of it.

By her logic you can be a serial killer and lynch black people and still go to heaven as long as you admit you're a """"sinner"""" but someone like Gandhi or the Buddha is straight to hell!  Great theology folks!!""",427f15b57ca3fb62,1,1,0,0,0,0
5,"You are mistaken. The article was about the internet release of an episode of Merlin. The article's purpose it to announce the release, discuss its quality, and discuss the episode itself. You are mistaken in interpreting it as a links database. Again, the link was not to a site hosting illegal content, but to one featuring an article regarding an episode. In the comments for the article, links to content of questionable legal status were posted. So, at best there are two degrees of separation between what I wrote in the talk page for Merlin and the content in question. My intent was not to advertise. I honestly wanted to illustrate what I meant by online excitement for the show. The editor that has attempted to dispute this does not understand my intentions despite multiple attempts to explain it to him or her. If you are in fact that same editor, then I thank you for finally signing in. Again after reviewing the policy page you provided me with, I can say again that what I have done is not a violation. It is not a torrent site as you like to say. Regardless, I think we have finally come to a compromise on the situation. I would like the posts to remain unchanged as my inquiry into online viewership is a legitimate one and one that if answered could improve the quality of the article. 6 million viewers does not do this show justice.",e0178311a8e1062f,0,0,0,0,0,0
6,"TFG, you are an idiot. I NEVER believed in Santa Claus and I used to go around to all the stupid kids in my 1st and 2nd-grade class and tell them Santa wasn't real. The teacher told me to stop but I didn't because I was smart and logical even at 7 years of age. If I could be logical at that age, any kid can, stupid parents like you are getting in the way of kids' developing their logic skills. From the time I first heard of Santa Claus when I was 4 years old I ALWAYS knew he was fictional. How come I knew it and yet you're saying children shouldn't find out? What if it's a smart and logical child like me who asks questions about the logical fallacies? you know, like I DID, because I'm SMART.",d5718a7cb7960c91,0,1,0,0,0,1
7,"""
the part that starts with """"if"""". there is no """"ifs"""" in history. This is an encyclopedic article, not an essay or political fantasy novel. Not to say that you guess is not supported by history, as I explained. mikka (t) """,f6347dfef31b2116,0,0,0,0,0,0
8,{{Unblock|Unblock or I'll kill you.,260b92db53c5ac8c,0,0,0,0,1,1
9,"Well thanks for your opinion, but I think its appropriate. Please see: keep your opinions to yourself",7279fd1ab9a21c6e,0,0,0,0,0,0
10,"You idiot, ever since I first heard of Santa when I was 4 years old I NEVER believed he was real. Any kid who is SMART AND LOGICAL would never believe it either. My parents never gave me stupid delusions of it either. I used to go around my 2nd-grade class and say Santa wasn't real and the teacher told me to stop but I didn't. You are preventing children from developing their logical thinking skills if you tell them it's possible to travel to every household in Christendom in a single night. Considering in TV and movies Santa spends at least a few minutes inside a house delivering presents and eating cookies. The time doesn't add up. Those were my exact thoughts at 4 years old and that's how I deduced he couldn't be real. If your kid doesn't think like that he's retarded and you're not helping him by saying that's possible.",caea6029eb08b87a,0,1,1,0,0,1
11,"That's fine.  It's not like anyone would have noticed you were gone, because you don't edit anything else besides the Westerfield article.  Which only reinforces my belief that you have an agenda to push around here.  You aren't anything I can't handle.  Just know that I'll continue to revert your salacious babble about Damon being in a bedroom with a woman.  As well as the price of the Van Dam's new home.  As if any of that has any relevance to the crime.  Victim bashing a great tactic used by the child-killers attorney to defend the pervert.  You think you know so much because you're on the side as the pervert???  What kind of man has rape videos on his computer?  Does it feel good to be on the same side of a man like that?   Yeah, yeah, sure, it was really Neal who was into that stuff.  Either way someone in that home was a pervert, and even if it was only Neal who looked at the child porn and rape videos he had to learn it from someone.  My guess would be by daddy-dearest.",da67c3994d91f095,0,0,0,0,0,1
12,"""
If """"playing"""" means enduring another of your beery, rancid eructations, I don't see that I have a choice.  Wikipedia is the encyclopedia anyone can edit, even witless oafs and consummate morons.  
""",c6ced2ddc697aef9,0,0,0,0,0,0
13,"All freshmen who attend optional orientation sessions 
receive information on date rape.",64,0,0,0,0,0,0
14,Hide the knife somewhere before somebody sees it,14,0,0,0,1,1,1
15,"""
Lecture someone else, Sarah. You are talking down. You're talking down a teacher talks to a disobedient child. Get off the pedestal and don't spout such bizarre lines as """"simply incapable of decency"""". Adminship isn't a licence to talk to others with contempt. It's fucking insulting. 

I'd rather deal with an honest asshole (which I would really like to see around here) than a bunch of ass-kissing, arrogant snakes (which I see in spades). This project just goes to hell that little bit further every day; I wonder how long until the articles I've written are bastardised in the way all of these are?  talk """,06c8c299abebc705,0,1,1,0,0,0
16,"Battle Frontier 

I've userfied the old contents of that page to . I've commented out the unfree images used in the article so that they don't display, since unfree images aren't allowed in userspace. You can continue to work on the article now, though you should contact me if you decide against working on it anymore, and I can put the history back in the old place.  (talk)",13dd5706fb5bb8f5,0,0,0,0,0,0
17,"""

John Mark Karr quote

""""You wanna rape us John Mark Karrs? You wanna rape us Debra Lafaves? Fuck you.""""  The source cited has the entire word before """"you"""" blotted out.  Is there an uncensored source, or are we just assuming it is """"fuck""""?  Although it would make the most sense from context, to be sure, we cannot make such an assumption in an encyclopedia.  Either the word should be blotted out or a reliable, first-hand, uncensored source must be added.""",61b3beea5e003462,0,0,1,0,0,0
18,"You can't even shoot a fart outta yer own arse! 

Dirty Frenchman",21e6f221f947ea74,1,0,1,0,0,1
19,"what happened to free speech 

Get a Fucking  life what happend to free speech 
If you Knew about Mr Todd you know it was his idea 
that gave one of the best folk group's a chance.
And for him to fulfil a passion for poetry that why bastard's like me took the Queen shilling not for our fucking grammar skill's so stop and sit on your hand's 
Didn't your mother's tell you to share your toy's and play nice or was she giving me a fucking blow job at the time",2ed435e4f4bcdbc2,0,0,1,0,0,1
20,"You're dead 

It won't be hard finding your faggot ass in that shit state.. trust me I have connections.

I'll kill everyone related to you, rape your children, kill them.. cut you up, spill your guts, and throw you into a fire.

I have access to the database for your state.. so i can get your address. Dont worry. ;)

Should have thought twice about what you did. Shouldn't mess with the clan.",89376a955c9124cd,1,1,1,0,1,1
21,"""
 Hello, Sunita Bhasin and Welcome to Wikipedia! Thank you for your contributions to this free encyclopedia. If you decide that you need help, check out Getting Help below, ask me on my talk page, or place  on your talk page and ask your question there. Please remember to sign your name on talk pages by using four tildes (~~~~) or by clicking  if shown; this will automatically produce your username and the date. Also, please do your best to always fill in the edit summary field with your edits. Below are some useful links to facilitate your involvement. Happy editing!   
|}""",ddbff3cc8657110f,0,0,0,0,0,0
